name,population,iso,code_2,code,per_40,per_50,per_60,per_70,per_80,share_40,share_50,share_60,share_70,share_80,x,y
Алтайский край,2317052,ALT,АК,АлК,13672,17088,20507,23925,27343,"0,59%","0,74%","0,89%","1,03%","1,18%",362144.02332534734,-1975320.7517705015
Амурская область,790676,AMU,Ам,Аму,3807,4759,5711,6666,7615,"0,48%","0,60%","0,72%","0,84%","0,96%",3623561.928795501,-1875571.538627713
Архангельская область,1092277,ARK,Ар,Арх,6346,7932,9520,11105,12691,"0,58%","0,73%","0,87%","1,02%","1,16%",-78592.00327721308,630161.6937535668
Астраханская область,1005967,AST,Ас,Аст,5524,6906,8286,9667,11048,"0,55%","0,69%","0,82%","0,96%","1,10%",-2212402.7355562057,-660248.1038774387
Белгородская область,1547532,BEL,Бл,Бел,9536,11916,14300,16683,19066,"0,62%","0,77%","0,92%","1,08%","1,23%",-2195525.0735082924,264493.9749007686
Брянская область,1192570,BRY,Бр,Бря,7433,9294,11152,13011,14866,"0,62%","0,78%","0,94%","1,09%","1,25%",-2044505.0700975251,654190.1044978618
Владимирская область,1358538,VLA,Вл,Вла,8751,10939,13124,15314,17502,"0,64%","0,81%","0,97%","1,13%","1,29%",-1500714.3883737852,318199.1631872952
Волгоградская область,2491751,VGG,Вл,Влг,15723,19653,23583,27516,31446,"0,63%","0,79%","0,95%","1,10%","1,26%",-2079696.6292505302,-275414.6818608898
Вологодская область,1160721,VLG,Вл,Вол,6602,8256,9905,11555,13207,"0,57%","0,71%","0,85%","1,00%","1,14%",-1077560.5058630044,532102.4537657539
Воронежская область,2323657,VOR,Вр,Вор,15284,19107,22926,26749,30571,"0,66%","0,82%","0,99%","1,15%","1,32%",-2073066.2800661777,81807.22983713844
Еврейская автономная область,158381,YEV,Ев,Евр,762,954,1144,1334,1526,"0,48%","0,60%","0,72%","0,84%","0,96%",4203090.913044086,-2275221.1611566255
Забайкальский край,1059657,ZAB,Зб,Заб,4559,5701,6841,7979,9118,"0,43%","0,54%","0,65%","0,75%","0,86%",2829367.5474273604,-2189680.154305708
Ивановская область,997196,IVA,Ив,Ива,6380,7975,9570,11165,12761,"0,64%","0,80%","0,96%","1,12%","1,28%",-1361036.695670919,308876.0579192031
Ингушская республика,506688,IN,Ин,Инг,1525,1903,2286,2668,3050,"0,30%","0,38%","0,45%","0,53%","0,60%",-2766573.0029368857,-737941.7609302425
Иркутская область,2390827,IRK,Ир,Ирк,11628,14536,17444,20350,23258,"0,49%","0,61%","0,73%","0,85%","0,97%",2089096.4237763132,-1752098.567401573
Кабардино-балкарская республика,868174,KB,КБ,КБ,4037,5045,6055,7067,8072,"0,46%","0,58%","0,70%","0,81%","0,93%",-2799837.982467767,-594961.723520753
Калининградская область,1012253,KGD,Кл,Клн,5573,6968,8361,9753,11148,"0,55%","0,69%","0,83%","0,96%","1,10%",-2015578.3053201674,1550553.257249731
Калужская область,1000070,KLU,Кл,Клж,6293,7863,9441,11013,12586,"0,63%","0,79%","0,94%","1,10%","1,26%",-1826488.6385404514,574065.0882195306
Камчатский край,312438,KAM,Км,Кам,1366,1708,2052,2392,2733,"0,44%","0,55%","0,66%","0,77%","0,87%",4996445.743082963,127940.77636090084
Карачаево-черкесская республика,465669,KC,КЧ,КЧ,2386,2982,3578,4177,4773,"0,51%","0,64%","0,77%","0,90%","1,02%",-2841030.060874709,-438916.65343608055
